target,date,r2_score,avg_predicted_std
LAI,20250417,-1.8683303526231672,0.8761544373333333
LAI,20250422,-0.1768541643812045,0.9045691415
LAI,20250425,-0.2329652460030038,0.907440704
LAI,20250430,-0.0173037010645589,0.8974993368333333
LAI,20250507,-0.1824417141156447,0.8941976341666665
LAI,20250516,-0.0900694159560275,0.8932786493333335
LAI,20250520,-0.3179527606774837,0.8718265113333334
LAI,20250529,-0.4697306813513211,0.8839436595
LAI,20250602,-0.5661920206441218,0.8828900923333333
LAI,20250613,-6.886554094169473,0.8776938289999999
