target,date,r2_score,avg_predicted_std
totEarNum,20250301,-4.2857519657803795,4.639890296282052
totEarNum,20250311,-3.7820427520083006,4.815325767692308
totEarNum,20250321,-4.231667302847248,4.6441533520512825
totEarNum,20250326,-3.902255076342313,4.7667092726923075
totEarNum,20250404,-150.8711693950916,1.0725525466682146e+21
totEarNum,20250408,-0.5278124942882845,5.88171247076923
totEarNum,20250417,-2.0799922534217776,5.674411816794872
totEarNum,20250422,-0.7775810536234145,6.192553088461538
totEarNum,20250425,-0.9372142024760871,6.315848505897436
totEarNum,20250430,-3.385559802605635,5.229512046025641
totEarNum,20250507,-3.746343585908758,5.029024431923077
totEarNum,20250516,-2.2560593527691504,5.7156115842307695
totEarNum,20250520,-2.4957079544647622,5.648995967179488
totEarNum,20250529,-2.0213087435397834,5.798854836794872
totEarNum,20250602,-1.4107342350812406,6.237116786410256
totEarNum,20250613,-2.119960117719378,6.4870252566666675
