target,date,r2_score,avg_predicted_std
20StrawWeightAfterDry,20240425,-1.0159691387422611,1.460297709090909
20StrawWeightAfterDry,20240430,0.6706774891751301,1.5588234670454546
20StrawWeightAfterDry,20240507,0.7089191350861247,1.4995620136363639
20StrawWeightAfterDry,20240513,-0.0034854696933199858,1.4764803073863637
20StrawWeightAfterDry,20240517,0.5516438654934408,1.5482846623376623
20StrawWeightAfterDry,20240522,0.35085133581577344,1.5509647035353533
20StrawWeightAfterDry,20240527,0.5760830645415049,1.525537009090909
20StrawWeightAfterDry,20240531,0.609199879955447,1.5509060288770053
20StrawWeightAfterDry,20240604,0.4759021608389938,1.5257735136363637
20StrawWeightAfterDry,20240607,0.24055572974649306,1.533438879338843
20StrawWeightAfterDry,20240611,0.7349823593968762,1.5208858824675324
20StrawWeightAfterDry,20240614,0.42097340681090806,1.531587555844156
20StrawWeightAfterDry,20240617,0.6176580283169184,1.5279297924242423
Height,20240425,0.5888554747609884,1.9205291427272726
Height,20240430,0.2202949974995721,1.8869732511363637
Height,20240507,-0.12108721129069312,2.2698675585858585
Height,20240513,0.5784692446748807,2.3598250053030303
Height,20240517,0.5933686057526627,2.293371111818182
Height,20240522,0.43935690931484017,2.300290016042781
Height,20240527,0.3697589358427973,2.3186333554545455
Height,20240531,0.42148562209813306,2.326746717424242
Height,20240604,-2.563758547540225,2.3384412809917356
Height,20240607,0.6594261859712626,2.3578446987012986
Height,20240611,0.6004257785226037,2.3288926233766234
Height,20240614,0.5646980724303233,2.3285124424242425
Height,20240617,0.31460199319090904,2.3085383386363634
LAI,20240425,0.33414632416609336,0.6274948696363637
LAI,20240430,0.16474857409252988,0.6348048489772727
LAI,20240507,-0.0476278614455776,0.6791308358585858
LAI,20240513,-1.5554368807151007,0.9452883193181818
LAI,20240517,-0.17757864016768207,0.8070170843636363
LAI,20240522,-0.12741289868784147,0.7694773466844919
LAI,20240527,-4.25736764179621,0.6704064771818182
LAI,20240531,0.22182668527549418,0.6549379518181818
LAI,20240604,0.13836152393838158,0.688055591570248
LAI,20240607,0.01811422338375801,0.7012008509090909
LAI,20240611,0.06506030174807029,0.7142969606493507
LAI,20240614,0.12216030579074486,0.7047033483838384
LAI,20240617,0.03945930459694925,0.7096726315151515
SPAD,20240425,-1.4017861319261589,1.8590084445454544
SPAD,20240430,-0.1657209339088622,1.8599798272727275
SPAD,20240507,-0.37627165325982587,1.8932956747474747
SPAD,20240513,-0.08066946245117887,1.8812497053030304
SPAD,20240517,0.14163865211264207,1.9060570436363635
SPAD,20240522,-0.05967962026585793,1.9107119342245988
SPAD,20240527,-0.3508726037111367,1.9176467909090908
SPAD,20240531,-0.008458220652841004,1.9067732371212123
SPAD,20240604,-1.2633659556783554,1.8876074537190084
SPAD,20240607,0.0834455641914747,1.9058034272727271
SPAD,20240611,0.16631153865605974,1.865515812987013
SPAD,20240614,0.061696480551054096,1.9217976606060605
SPAD,20240617,-0.0913059920349249,1.9981995825757577
totEarNum,20240425,0.670480090529841,4.799431581818182
totEarNum,20240430,0.8618276789970131,5.409714782954546
totEarNum,20240507,0.8464880655431849,5.513777685454546
totEarNum,20240513,0.9330243140997343,5.17675208125
totEarNum,20240517,0.7474843910705599,5.240430683116883
totEarNum,20240522,0.6702550687899683,5.306395727272727
totEarNum,20240527,0.8816383167006037,5.064253538636364
totEarNum,20240531,0.7964606552569773,5.700154579679144
totEarNum,20240604,0.2721812638203584,5.653453705454545
totEarNum,20240607,0.36972043470683164,5.301286303305785
totEarNum,20240611,0.8494254706258243,5.249822709740259
totEarNum,20240614,0.8584961055011092,5.048425661038961
totEarNum,20240617,0.7445166569688617,5.2022532833333335
totEarWeight,20240425,0.7996891883905217,7.084570802272728
totEarWeight,20240430,0.9212034316178364,9.463055653409091
totEarWeight,20240507,0.9331882861663608,9.609506970909091
totEarWeight,20240513,0.9281398811225603,8.233330411363637
totEarWeight,20240517,0.9355528565843332,8.491945453246753
totEarWeight,20240522,0.762558236294882,8.572871864646466
totEarWeight,20240527,0.943942854380725,7.951721804545454
totEarWeight,20240531,0.9005328778853983,9.678398090374332
totEarWeight,20240604,0.8405786501083383,8.947671761818182
totEarWeight,20240607,0.7906611227198169,8.379425679338842
totEarWeight,20240611,0.9388213934050014,8.898891283766234
totEarWeight,20240614,0.9044456208484918,8.242265848051948
totEarWeight,20240617,0.8400294252858616,8.485820418181818
totalSeedNum,20240425,0.670404675595567,19.359301003787877
totalSeedNum,20240430,0.7139268358304566,26.426830136363638
totalSeedNum,20240507,0.8198892881141089,27.005838595454545
totalSeedNum,20240513,0.8447276926259114,22.801362502840906
totalSeedNum,20240517,0.930218336131817,22.369939415584415
totalSeedNum,20240522,0.5168554224064024,23.214800954545453
totalSeedNum,20240527,0.5030909691490071,21.179489539772728
totalSeedNum,20240531,0.7827520231623161,26.400275684491977
totalSeedNum,20240604,0.6963332299377405,23.81260552727273
totalSeedNum,20240607,0.4602768367151302,22.081682239669423
totalSeedNum,20240611,0.7523271292921024,23.560051201298702
totalSeedNum,20240614,0.7688113620683329,22.083484558441558
totalSeedNum,20240617,0.6703908118027229,22.691624613636364
totalSeedWeightAfterDry,20240425,0.7235601853773717,3.947184434090909
totalSeedWeightAfterDry,20240430,0.8124327858265061,4.834812031818182
totalSeedWeightAfterDry,20240507,0.8363507962581981,4.724004389090909
totalSeedWeightAfterDry,20240513,0.7788430863282283,4.2792333625
totalSeedWeightAfterDry,20240517,0.9041057108663676,4.348667483116883
totalSeedWeightAfterDry,20240522,0.5867211496339864,4.47374250050505
