target,date,r2_score,avg_predicted_std
SPAD,20250311,-0.7488786977976649,1.9023261
SPAD,20250321,-0.4991088101277114,1.8967120016666668
SPAD,20250326,-0.4557101747189118,1.8949100699999997
SPAD,20250404,-0.8746775501748594,1.8801852866666664
SPAD,20250408,-0.1849530434254871,1.8860384383333333
SPAD,20250417,-0.4839770857897747,1.8846317716666665
SPAD,20250422,-0.0124627309162357,1.8931617816666668
SPAD,20250425,-0.0271420400883488,1.887077846666667
SPAD,20250430,0.0561159390832509,1.904893161666667
SPAD,20250507,-0.039287538894206,1.90550919
SPAD,20250516,-2.2996460328152164,1.8989515216666668
SPAD,20250520,-2.7253172386849864,1.9060871316666663
SPAD,20250529,-1.69482749590023,1.89621273
SPAD,20250602,-0.2734921404028418,1.8904991983333332
SPAD,20250613,-2.7724903687420617,1.6267515933333334
