DataKey,true_totalSeedNum,predicted_totalSeedNum,predicted_std_totalSeedNum
202404251118_1,4008.0,3411.4717,17.483704
202404251118_1,4008.0,3344.92,17.141193
202404251118_1,4008.0,3732.5122,18.662737
202404251118_1,4008.0,3776.0098,18.604239
202404251118_1,4008.0,3586.7876,18.018314
202404251118_1,4008.0,3613.1284,17.830307
202404251118_1,4008.0,3484.5188,17.597866
202404251118_1,4008.0,3572.951,17.896257
202404251118_1,4008.0,4393.4053,20.116055
202404251118_1,4008.0,3715.909,18.781298
202404251118_1,4008.0,3362.6047,16.918327
202404251118_1,4008.0,3584.303,17.224533
202404251118_1,4008.0,3550.253,17.443623
202404251118_1,4008.0,3614.9712,17.516724
202404251118_1,4008.0,3424.628,17.104994
202404251118_1,4008.0,3658.0283,17.777596
202404251118_1,4008.0,3379.355,16.874695
202404251118_1,4008.0,3608.977,17.339119
202404251118_1,4008.0,3194.4492,16.06031
202404251118_1,4008.0,3762.6038,18.457258
202404251118_10,2195.0,1943.6176,13.682373
202404251118_10,2195.0,1914.9087,13.318677
202404251118_10,2195.0,2047.0148,14.347503
202404251118_10,2195.0,1855.9149,13.277344
202404251118_10,2195.0,1981.2423,13.930274
202404251118_10,2195.0,1838.5946,13.141481
202404251118_10,2195.0,1939.3751,13.434785
202404251118_10,2195.0,1877.8175,13.206907
202404251118_10,2195.0,1897.5702,13.401166
202404251118_10,2195.0,1974.3452,14.288345
202404251118_10,2195.0,1515.9033,13.051707
202404251118_10,2195.0,1786.7509,13.113379
202404251118_10,2195.0,1520.117,13.080925
202404251118_10,2195.0,1727.5703,13.211758
202404251118_10,2195.0,1516.7723,13.039191
202404251118_10,2195.0,1667.5189,12.962962
202404251118_10,2195.0,1650.1921,12.95919
202404251118_10,2195.0,1724.2347,13.095086
202404251118_10,2195.0,1640.5729,13.001886
202404251118_10,2195.0,2115.6797,15.131639
202404251118_102,6658.0,6743.1035,30.692976
202404251118_102,6658.0,6560.469,28.554045
202404251118_102,6658.0,6969.871,32.96721
202404251118_102,6658.0,6980.3325,32.277218
202404251118_102,6658.0,6810.5845,31.359337
202404251118_102,6658.0,6570.774,28.831417
202404251118_102,6658.0,6357.7676,27.034378
202404251118_102,6658.0,6758.899,30.221004
202404251118_102,6658.0,6370.299,27.451777
202404251118_102,6658.0,7276.715,36.55516
202404251118_102,6658.0,6194.122,27.607609
202404251118_102,6658.0,6104.9233,26.15794
202404251118_102,6658.0,6743.989,31.519228
202404251118_102,6658.0,6359.087,27.969864
202404251118_102,6658.0,6434.7847,29.244406
202404251118_102,6658.0,6151.637,26.717144
202404251118_102,6658.0,5952.5103,25.30939
202404251118_102,6658.0,6200.975,26.855263
202404251118_102,6658.0,5994.2524,25.46273
202404251118_102,6658.0,7052.3257,34.828808
202404251118_105,7558.0,7667.044,39.52871
202404251118_105,7558.0,7128.816,33.584953
202404251118_105,7558.0,7929.9272,42.991116
202404251118_105,7558.0,7482.2827,37.348667
202404251118_105,7558.0,7754.3076,40.578022
202404251118_105,7558.0,7264.636,34.966076
202404251118_105,7558.0,7248.3906,34.449116
202404251118_105,7558.0,7251.636,34.75501
202404251118_105,7558.0,7303.0938,37.006905
202404251118_105,7558.0,8168.3047,48.757404
202404251118_105,7558.0,7854.654,41.77504
202404251118_105,7558.0,6995.675,32.507786
202404251118_105,7558.0,7945.3354,43.32025
202404251118_105,7558.0,7272.1123,35.316277
202404251118_105,7558.0,7895.01,42.43681
202404251118_105,7558.0,7059.3228,33.29475
202404251118_105,7558.0,7370.4893,36.274887
202404251118_105,7558.0,7122.303,33.761753
202404251118_105,7558.0,7385.08,37.259808
202404251118_105,7558.0,7992.5835,45.72389
202404251118_108,6927.0,7266.2197,35.000313
202404251118_108,6927.0,7116.6284,33.329384
202404251118_108,6927.0,7591.2407,38.890198
202404251118_108,6927.0,7299.5703,35.35223
202404251118_108,6927.0,7426.3975,36.831135
202404251118_108,6927.0,7154.363,33.5906
202404251118_108,6927.0,7168.423,33.95869
202404251118_108,6927.0,7205.482,34.23814
202404251118_108,6927.0,7643.9277,40.06839
202404251118_108,6927.0,7407.505,38.890015
202404251118_108,6927.0,6634.555,29.467533
202404251118_108,6927.0,6677.7866,30.008091
202404251118_108,6927.0,6584.7417,29.476442
202404251118_108,6927.0,6658.3267,30.033451
202404251118_108,6927.0,6641.7495,29.680782
202404251118_108,6927.0,6710.4663,30.277958
202404251118_108,6927.0,6748.238,30.531694
202404251118_108,6927.0,6668.6646,29.993114
202404251118_108,6927.0,7528.006,39.03963
202404251118_108,6927.0,7931.516,45.17352
202404251118_11,5476.0,5666.3784,23.57102
202404251118_11,5476.0,5103.0117,21.215551
202404251118_11,5476.0,5584.4966,23.446585
202404251118_11,5476.0,5164.6606,21.46329
202404251118_11,5476.0,5683.4517,23.720222
202404251118_11,5476.0,5252.567,21.863777
202404251118_11,5476.0,5052.4976,20.915277
202404251118_11,5476.0,5126.8135,21.319479
202404251118_11,5476.0,5257.528,22.017738
202404251118_11,5476.0,5008.308,21.653744
202404251118_11,5476.0,4539.7524,19.805182
202404251118_11,5476.0,4704.1533,19.960854
202404251118_11,5476.0,5011.5615,21.809563
202404251118_11,5476.0,4939.3105,21.089535
202404251118_11,5476.0,4734.459,20.569187
202404251118_11,5476.0,4852.926,20.619024
202404251118_11,5476.0,5114.715,21.574175
202404251118_11,5476.0,4750.241,20.206518
202404251118_11,5476.0,5207.5806,21.792994
202404251118_11,5476.0,4923.583,21.812902
202404251118_111,4861.0,6587.289,29.210741
202404251118_111,4861.0,5902.82,25.415415
202404251118_111,4861.0,6702.0825,30.163681
202404251118_111,4861.0,6267.3677,27.521181
202404251118_111,4861.0,6656.0044,29.716951
202404251118_111,4861.0,6348.9023,27.640322
202404251118_111,4861.0,6155.957,26.420769
202404251118_111,4861.0,6101.7446,26.51332
202404251118_111,4861.0,6402.0435,28.415977
202404251118_111,4861.0,6040.3135,28.102194
202404251118_111,4861.0,5959.3066,25.626467
202404251118_111,4861.0,5612.777,23.71091
202404251118_111,4861.0,6217.0117,27.38684
202404251118_111,4861.0,5854.505,25.15392
202404251118_111,4861.0,5986.2944,25.860336
202404251118_111,4861.0,5686.2305,24.360033
202404251118_111,4861.0,5691.646,24.19548
202404251118_111,4861.0,5690.0894,24.158035
202404251118_111,4861.0,6275.6973,28.029142
202404251118_111,4861.0,6533.869,31.308311
202404251118_114,5388.0,6409.7217,27.81206
202404251118_114,5388.0,6197.9473,26.443298
202404251118_114,5388.0,6576.7686,29.148561
202404251118_114,5388.0,6486.8833,28.527084
202404251118_114,5388.0,6481.8955,28.37626
