37.363907403, 140.985897303
37.363905152, 140.985925494
37.363922614, 140.985894843
37.363923657, 140.985913797
37.363922762, 140.985934896
37.363922139, 140.985957673
37.363922469, 140.985976064
37.36392283, 140.985994135
37.363947559, 140.985942951
37.363946509, 140.985964757
37.363964292, 140.985931866
37.363982563, 140.98589862
37.363981796, 140.985917756
37.363999135, 140.98588897
37.364013565, 140.985866714
37.364161874, 140.985961943
37.364154158, 140.986002701
37.364175711, 140.985961769
37.364170693, 140.985994338
37.364182223, 140.985981589
37.364177243, 140.986015626
37.364188119, 140.986004505
37.364202048, 140.985982355
37.364200025, 140.986010242
37.364202787, 140.98602416
37.364212536, 140.986015215
37.364226568, 140.985992142
37.364220695, 140.986030479
37.364234613, 140.986008846
37.364230184, 140.986043175
37.364146187, 140.98592418
37.364132549, 140.985944421
37.364134973, 140.985916461
37.364119931, 140.985940384
37.364123598, 140.985909487
37.364084645, 140.986023752
37.364084377, 140.9860458
37.364097005, 140.98602806
37.364092403, 140.986063914
37.364104358, 140.986050792
37.364062016, 140.986031683
37.364065083, 140.986003131
37.364050827, 140.986023785
37.364053831, 140.985996873
37.364040073, 140.986013716
37.364073242, 140.985915935
37.364086177, 140.985897843
37.364084651, 140.985923487
37.364098511, 140.985903551
37.364096042, 140.985929123
37.364063455, 140.985885712
37.364050152, 140.985905595
37.364053088, 140.985876102
37.36404137, 140.985889554
37.364040468, 140.985869749
37.364006493, 140.985971318
37.364007961, 140.985987507
37.364020303, 140.985973656
37.364017379, 140.986002641
37.364030842, 140.985983126
